source_text	important_entities	informal_paraphrase	source_text_inform_score	informal_paraphrase_inform_score	informal_increase	is_manual_rewrite
The first place I have found is located at 1003 Coast Boulevard, La Jolla, California 92037, United States, with a 4.6 star rating.	['1003 Coast Boulevard, La Jolla, California 92037, United States', '4.6']	the one i found is at 1003 coast boulevard la jolla, ca . it's rating is 4.6	0.0033949224743992	0.4770745038986206	0.4736795814242214	1
Do you have songs from Morgan Wallen?	['Morgan Wallen']	are there any songs from morgan wallen?	0.013469505123794	0.4886742234230041	0.47520471829921	1
Please give confirmation details: The event reservation at 2g Japanese Brasserie on march 11th at 12 pm in the location 601 Van Ness Avenue.	['reservation at 2g Japanese Brasserie', 'march 11th', '601 Van Ness Avenue', '12 pm']	plz confirm this - reservation at 2g Japanese Brasserie on march 11th at 12 pm in 601 Van Ness Avenue.	0.2152328342199325	0.6910945177078247	0.4758616834878921	1
I have confirmed a table for 5 pm next Thursday.	['5 pm', 'next Thursday']	the table for evening 5 next Thursday is confirmed	0.00365746836178	0.4810145497322082	0.4773570813704282	1
I would like to watch movies that involve romance, I especially love movies directed by Jenny Gage.	['romance', 'Jenny Gage']	i'd like some romance movies, like the ones by jenny gage.	0.0052990890108048	0.4835172295570373	0.4782181405462324	1
No I am leaving on the 3rd from Seattle, WA.	['Seattle, WA', 'the 3rd']	no i'm leaving on the 3 from seattle, wa	0.3790910840034485	0.8589492440223694	0.4798581600189209	1
Arriving March 10th, right? When would you like to depart?	['March 10th']	arrive at March 10th, yeah? and when would you like to depart?	0.0053499862551689	0.4855969846248626	0.4802469983696937	1
I need the car on the 2nd of March till the 3rd of March at 1:30 in the afternoon.	['2nd of March', '3rd of March', '1:30 in the afternoon']	i do really need a car for march 2nd to 3rd at 1:30pm	0.0333750583231449	0.5181655883789062	0.4847905300557613	1
I have found 10 houses available. I found 1 with a 4.3 rating located at 1 Washington Circle Northwest, Washington, District of Columbia 20037, United States.	['1 Washington Circle Northwest, Washington, District of Columbia 20037, United States', '4.3']	there are smth like 10 houses available. I found 1 with a 4.3 rating. it is at 1 Washington Circle Northwest, Washington, Columbia .	0.0029998926911503	0.4919181764125824	0.4889182837214321	1
What about Autry Museum of the American West?	['Autry Museum of the American West']	how about Autry Museum of American West?	0.1076229289174079	0.5996162295341492	0.4919933006167412	1
